"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","change_10yr"
"S200","Byssoloma llimonae",0.00967912087912083,-19.1678857142856,0.00558824304507935,1.73205080756887,0.111172952769058,11.1322710699794,-1.7218306663387,0.113062784775637,0.142857142857142,0.214285714285714,2.99999999999999,1,11,1962,2022,-53.6512667660256
"S201","Byssoloma marginatum",0.00373626373626373,-7.27056043956043,0.00379208503099896,0.985279524515165,0.345662858041616,7.55416651440438,-0.96245699981551,0.356500662172557,-0.00244130031356526,0.0810954747125652,0.970775741428831,1,11,1962,2022,61.2614452295674
"S202","Byssoloma subdiscordans",0.00181098901098902,-3.39610549450552,0.00815826778282215,0.221982050503686,0.828395301382193,16.2519861228703,-0.208965566967007,0.838294463161488,-0.086044005653283,0.00445966148449048,0.049276030745821,1,11,1962,2022,11.3418948121849
"S203","Caeruleum heppii",-0.000380219780219762,0.929243956043919,0.00258156807929022,-0.147282492090737,0.885573883046418,5.14271040332976,0.180691480399569,0.859895791664592,-0.0887620390557693,0.0019681308655447,0.0216921324764581,1,11,1962,2022,-2.04082435147784
"S204","Calicium abietinum",-0.00255824175824173,5.185556043956,0.00493897888451086,-0.517969770282809,0.614737347343487,9.83887982461553,0.527047401370067,0.608625531969484,-0.0649350649350653,0.0238095238095235,0.268292682926826,1,11,1962,2022,-15.1324085750303
"S205","Calicium diploellum",0.0202362637362636,-40.0273296703295,0.0145925773049822,1.38675049056307,0.192977583019556,29.0696959416848,-1.37694352739796,0.195905230750275,0.0714285714285711,0.148809523809523,1.92307692307692,1,11,1962,2022,-61.4754098360467
"S206","Calicium glaucellum",-0.000428571428571401,1.09771428571423,0.00206968647678181,-0.207070700504259,0.839738011537651,4.1229972826063,0.266241816443867,0.794977448090194,-0.086673211562865,0.00388288940070707,0.0428782750073243,1,11,1962,2022,-1.64116778205282
"S207","Calicium hyperelloides",0.0011010989010989,-2.15508131868131,0.00209866645130935,0.524665985112558,0.610225910684688,4.18072793774052,-0.515479923777587,0.616419095574421,-0.0642756511830174,0.0244139864155674,0.275274395934131,1,11,1962,2022,205.327868852204
"S208","Calicium lenticulare",0.00749120879120877,-14.7198725274725,0.00429744069289914,1.74317909810526,0.109147544455976,8.56087938813583,-1.71943463516986,0.113509995066598,0.14521837745066,0.216450179329772,3.03867336807107,1,11,1962,2022,-333.097163518861
"S209","Calicium notarisii",-0.00488131868131863,9.92974065934056,0.00553219187492362,-0.882348044261574,0.396460998248683,11.0206122149637,0.901015339770151,0.386882191401561,-0.018802157572428,0.0660980222252743,0.778538071212225,1,11,1962,2022,-13.6170925882591
"S210","Calicium parvum",0.012932967032967,-25.4061626373626,0.00996570374997589,1.29774749053706,0.22092760382406,19.8525573517296,-1.27974256350148,0.226967859388775,0.0539372860970353,0.132775845588949,1.68414854919524,1,11,1962,2022,-401.528462496061
"S211","Calicium pinastri",0.0159999999999999,-31.6479999999999,0.0115377640814847,1.38675049056307,0.192977583019556,22.9842396367597,-1.37694352739796,0.195905230750275,0.071428571428571,0.148809523809523,1.92307692307692,1,11,1962,2022,-61.4754098360421
"S212","Calicium salicinum",-0.00121318681318678,2.65036043956038,0.00220363870380392,-0.550537985692745,0.592954629614483,4.38984188646629,0.60374849666712,0.558255882831946,-0.0616563964768115,0.026814969896256,0.303092073690624,1,11,1962,2022,-4.4181855291082
"S213","Calicium tigillare",-0.0015252747252747,3.22265494505489,0.0070316387357029,-0.216915968326155,0.832244513427534,14.0076420872457,0.23006405539082,0.822264357165664,-0.086262598957165,0.00425928428926529,0.0470525373148735,1,11,1962,2022,-6.52104461998163
"S214","Calicium viride",-0.00731428571428567,14.9248263736263,0.00180763658747692,-4.04632533162812,0.00192758478020184,3.60097088216746,4.1446673305625,0.00163110390015825,0.561607782390603,0.598140467191386,16.3727486893754,1,11,1962,2022,-12.5294443196461
"S215","Caloplaca ahtii",0.00273406593406593,-5.35056703296702,0.0052784276050958,0.517969770282813,0.614737347343484,10.5150914964104,-0.508846455096807,0.620910832294666,-0.0649350649350648,0.0238095238095238,0.26829268292683,1,11,1962,2022,196.721311475334
"S216","Caloplaca albolutescens",0.000279120879120893,-0.394624175824203,0.00347732082328102,0.0802689464981631,0.937465119760529,6.92712856076189,-0.05696793012613,0.955592384045675,-0.0902704794692102,0.000585393819890551,0.00644310377192506,1,11,1962,2022,1.7942837228798
"S217","Caloplaca alociza",0.0169527472527472,-33.1880263736263,0.0114943703659326,1.47487393506932,0.168284420204918,22.8977955432651,-1.44939831919269,0.175130366545023,0.0892015594125529,0.165101429461507,2.17525312434685,1,11,1962,2022,227.600095405161
"S218","Caloplaca alstrupii",0.0151923076923076,-30.0503846153845,0.0109553288754482,1.38675049056307,0.192977583019556,21.8239775397118,-1.37694352739796,0.195905230750275,0.0714285714285711,0.148809523809523,1.92307692307692,1,11,1962,2022,-61.4754098360491
"S219","Caloplaca aractina",0.0275846153846153,-54.5020923076921,0.0178148049610744,1.54840962025058,0.149796819096584,35.4886565036073,-1.53576093538937,0.152845669641216,0.104315342761861,0.178955730865039,2.39757235208453,1,11,1962,2022,-71.199295816602
"S220","Caloplaca arenaria",0.00129670329670331,-2.40487912087914,0.00314134283743759,0.412786303121576,0.687694610661764,6.25783089747431,-0.384299154176531,0.708082027757458,-0.0742684257133583,0.015253943096088,0.170392532044778,1,11,1962,2022,9.15921510183762
