"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"TM05",2678,74,0.398,7.1,35.9,0.74,52.8,154.4,7
"TM06",2679,50,0.39,6.8,29.32,0.74,50,145.5,6
"TM07",2680,76,0.414,7.03,36.04,0.74,53.9,154.3,7
"TM08",2681,21,0.412,6.96,33.33,0.74,53.6,153.2,7
"TM09",2682,15,0.394,7.56,35.55,0.74,52,157.3,7
"TM10",2683,0,0.24,16.98,42.84,0.74,32.7,191.7,5
"TM11",2684,21,0.3,9.62,35.33,0.74,43.5,171,5
"TM12",2685,3,0.382,7.32,36.06,0.74,49.9,151.3,6
"TM13",2686,61,0.362,7.54,38.58,0.74,59.6,189.6,5
"TM14",2687,111,0.314,8.75,29.45,0.74,48.7,179.4,4
"TM15",2688,68,0.404,7.14,37.11,0.74,52.8,153.5,7
"TM16",2689,114,0.394,6.55,27.98,0.74,50.4,143.5,6
"TM17",2690,56,0.41,6.87,36.58,0.74,54.7,155.3,7
"TM18",2691,39,0.426,6.8,34.34,0.74,56,155.3,7
"TM19",2692,32,0.4,7.18,35.28,0.74,53.1,156.2,7
"TM21",2693,4,0.292,10.48,34.06,0.74,42.1,175.7,5
"TM22",2694,11,0.289,10.6,37.57,0.74,45.1,191.9,4
"TM23",2695,75,0.296,10.19,35.36,0.74,44.4,181.4,5
"TM24",2696,116,0.34,7.38,37.65,0.74,59.7,195,4
"TM25",2697,122,0.398,6.86,35.68,0.74,53.5,154.2,7
"TM26",2698,92,0.415,6.37,29.33,0.74,53.8,147.3,6
"TM27",2699,40,0.413,6.34,28.33,0.74,53.3,146.2,6
"TM28",2700,45,0.409,6.64,34.78,0.74,54.3,152.3,6
"TM29",2701,11,0.397,7.05,36.56,0.74,53.9,158.1,6
"TM33",2702,33,0.289,10.37,37.49,0.74,44.8,187.5,5
"TM34",2703,96,0.416,5.69,35.36,0.74,71.1,186.1,5
"TM35",2704,166,0.401,6.21,39.08,0.74,68.1,188.9,5
"TM36",2705,118,0.412,6.95,38.33,0.74,55.6,158.3,7
"TM37",2706,65,0.403,6.67,35.23,0.74,53.9,152.6,6
"TM38",2707,71,0.425,6.73,33.92,0.74,55.1,152.5,7
"TM39",2708,52,0.38,7.27,35.14,0.74,57.3,175,6
"TM44",2709,92,0.293,9.75,33.13,0.74,47.9,193.9,4
"TM45",2710,98,0.347,6.8,27.66,0.74,59.2,185.2,4
"TM46",2711,159,0.381,6.6,38.6,0.74,64.2,188.1,5
"TM47",2712,125,0.386,6.27,36.19,0.74,67,190.6,4
"TM48",2713,123,0.406,6.83,37.17,0.74,55.3,157.8,6
"TM49",2714,62,0.362,6.55,30.92,0.74,61.8,185.5,4
"TM57",2715,40,0.327,7.67,29.58,0.74,54.8,186.5,3
