"SPECIES","NAME"
"S602","Japewiella tavaresiana"
"S603","Kalaallia reactiva"
"S604","Koerberiella wimmeriana"
"S605","Lambiella furvella"
"S606","Lambiella gyrizans"
"S607","Lambiella insularis"
"S608","Lasallia pustulata"
"S609","Lecanactis abietina"
"S610","Lecania aipospila"
"S611","Lecania atrynoides"
"S612","Lecania baeomma"
"S613","Lecania chlorotiza"
"S614","Lecania coerulescens"
"S615","Lecania cuprea"
"S616","Lecania cyrtella"
"S617","Lecania cyrtellina"
"S618","Lecania dubitans"
"S619","Lecania erysibe s. lat."
"S620","Lecania hutchinsiae"
"S621","Lecania inundata"
"S622","Lecania naegelii"
"S623","Lecania nylanderiana"
"S624","Lecania rabenhorstii"
"S625","Lecania suavis"
"S626","Lecania subfuscula"
"S627","Lecania sylvestris"
"S628","Lecania turicensis"
"S629","Lecanographa abscondita"
"S630","Lecanographa amylacea"
"S631","Lecanographa dilleniana"
"S632","Lecanographa lyncea"
"S633","Lecanora achariana"
"S634","Lecanora aitema"
"S635","Lecanora albella"
"S636","Lecanora albellula"
"S637","Lecanora alboflavida"
"S638","Lecanora argentata"
"S639","Lecanora atromarginata"
"S640","Lecanora barkmaniana"
"S641","Lecanora cadubriae"
"S642","Lecanora caesiosora"
"S643","Lecanora caledonica"
"S644","Lecanora campestris"
"S645","Lecanora carpinea"
"S646","Lecanora cenisia"
"S647","Lecanora chlarotera"
"S648","Lecanora cinereofusca"
"S649","Lecanora compallens"
"S650","Lecanora conferta"
"S651","Lecanora confusa"
"S652","Lecanora conizaeoides"
"S653","Lecanora coppinsii"
"S654","Lecanora epanora"
"S655","Lecanora epibryon"
"S656","Lecanora expallens"
"S657","Lecanora farinaria"
"S658","Lecanora formosa"
"S659","Lecanora frustulosa"
"S660","Lecanora gangaleoides"
"S661","Lecanora gisleriana"
"S662","Lecanora handelii"
"S663","Lecanora helicopis"
"S664","Lecanora horiza"
"S665","Lecanora hybocarpa"
"S666","Lecanora hypoptella"
"S667","Lecanora intricata"
"S668","Lecanora intumescens"
"S669","Lecanora jamesii"
"S670","Lecanora muralis sensu auct."
"S671","Lecanora ochroidea"
"S672","Lecanora orosthea"
"S673","Lecanora pannonica"
"S674","Lecanora phaeostigma"
"S675","Lecanora poliophaea"
"S676","Lecanora polytropa"
"S677","Lecanora populicola"
"S678","Lecanora praepostera"
"S679","Lecanora pulicaris"
"S680","Lecanora quercicola"
"S681","Lecanora rugosella"
"S682","Lecanora rupicola"
"S683","Lecanora saligna"
"S684","Lecanora sarcopidoides"
"S685","Lecanora sinuosa"
"S686","Lecanora soralifera"
"S687","Lecanora stenotropa"
"S688","Lecanora strobilina"
"S689","Lecanora subaurea"
"S690","Lecanora subcarnea"
"S691","Lecanora subintricata"
"S692","Lecanora sublivescens"
"S693","Lecanora sulphurea"
"S694","Lecanora swartzii"
"S695","Lecanora symmicta"
"S696","Lecanora varia"
"S697","Lecanora viridiatra"
"S698","Lecidea auriculata"
"S699","Lecidea berengeriana"
"S700","Lecidea brachyspora"
"S701","Lecidea confluens"
"S702","Lecidea diducens"
"S703","Lecidea endomelaena"
"S704","Lecidea erythrophaea"
"S705","Lecidea exigua"
"S706","Lecidea fuliginosa"
"S707","Lecidea fuscoatra s. lat."
"S708","Lecidea globulispora"
"S709","Lecidea grisella"
"S710","Lecidea lactea s. lat."
